length_string	hash_name	number_strings	collision_proportion
10	JS	70000	1.42857e-05
10	JS	80000	1.25e-05
10	JS	90000	1.11111e-05
10	JS	100000	1e-05
10	JS	110000	1.81818e-05
10	JS	120000	1.66667e-05
10	JS	130000	1.53846e-05
10	JS	140000	1.42857e-05
10	JS	150000	2e-05
10	JS	160000	2.5e-05
10	JS	170000	2.35294e-05
10	JS	180000	2.22222e-05
10	JS	190000	3.15789e-05
10	JS	200000	3e-05
10	JS	210000	2.85714e-05
10	JS	220000	2.72727e-05
10	JS	230000	3.04348e-05
10	JS	240000	3.75e-05
10	JS	250000	3.6e-05
10	JS	260000	3.46154e-05
10	JS	270000	3.33333e-05
10	JS	280000	3.21429e-05
10	JS	290000	3.10345e-05
10	JS	300000	3.33333e-05
10	JS	310000	3.22581e-05
10	JS	320000	3.75e-05
10	JS	330000	3.93939e-05
10	JS	340000	4.41176e-05
10	JS	350000	4.28571e-05
10	JS	360000	4.16667e-05
10	JS	370000	4.05405e-05
10	JS	380000	4.47368e-05
10	JS	390000	4.35897e-05
10	JS	400000	4.75e-05
10	JS	410000	5.12195e-05
10	JS	420000	5e-05
10	JS	430000	5.34884e-05
10	JS	440000	5.22727e-05
10	JS	450000	5.11111e-05
10	JS	460000	5.21739e-05
10	JS	470000	5.53191e-05
10	JS	480000	5.83333e-05
10	JS	490000	5.71429e-05
10	JS	500000	5.8e-05
10	JS	510000	5.68627e-05
10	JS	520000	5.76923e-05
10	JS	530000	5.84906e-05
10	JS	540000	5.74074e-05
10	JS	550000	5.63636e-05
10	JS	560000	5.71429e-05
10	JS	570000	5.96491e-05
10	JS	580000	6.03448e-05
10	JS	590000	6.27119e-05
10	JS	600000	6.5e-05
10	JS	610000	6.72131e-05
10	JS	620000	6.93548e-05
10	JS	630000	6.8254e-05
10	JS	640000	6.71875e-05
10	JS	650000	6.92308e-05
10	JS	660000	7.57576e-05
10	JS	670000	7.46269e-05
10	JS	680000	7.64706e-05
10	JS	690000	7.68116e-05
10	JS	700000	7.71429e-05
10	JS	710000	8.30986e-05
10	JS	720000	8.47222e-05
10	JS	730000	8.49315e-05
10	JS	740000	8.51351e-05
10	JS	750000	8.8e-05
10	JS	760000	8.94737e-05
10	JS	770000	8.96104e-05
10	JS	780000	9.10256e-05
10	JS	790000	9.49367e-05
10	JS	800000	9.75e-05
10	JS	810000	9.75309e-05
10	JS	820000	9.87805e-05
10	JS	830000	9.87952e-05
10	JS	840000	0.0001
10	JS	850000	0.000101176
10	JS	860000	0.000102326
10	JS	870000	0.000104598
10	JS	880000	0.000103409
10	JS	890000	0.000102247
10	JS	900000	0.000103333
10	JS	910000	0.000103297
10	JS	920000	0.000103261
10	JS	930000	0.000102151
10	JS	940000	0.000102128
10	JS	950000	0.000104211
10	JS	960000	0.000105208
10	JS	970000	0.000106186
10	JS	980000	0.000107143
10	JS	990000	0.000108081
10	JS	1000000	0.00011
10	PJW	10000	0
10	PJW	20000	0
10	PJW	30000	3.33333e-05
10	PJW	40000	7.5e-05
10	PJW	50000	8e-05
10	PJW	60000	0.000133333
10	PJW	70000	0.000214286
10	PJW	80000	0.0002375
10	PJW	90000	0.000222222
10	PJW	100000	0.00025
10	PJW	110000	0.0003
10	PJW	120000	0.000325
10	PJW	130000	0.000361538
10	PJW	140000	0.000378571
10	PJW	150000	0.000433333
10	PJW	160000	0.00043125
10	PJW	170000	0.000441176
10	PJW	180000	0.000472222
10	PJW	190000	0.000505263
10	PJW	200000	0.00051
10	PJW	210000	0.000542857
10	PJW	220000	0.000568182
10	PJW	230000	0.000595652
10	PJW	240000	0.000641667
10	PJW	250000	0.000652
10	PJW	260000	0.000669231
10	PJW	270000	0.000696296
10	PJW	280000	0.000732143
10	PJW	290000	0.000758621
10	PJW	300000	0.00078
10	PJW	310000	0.000806452
10	PJW	320000	0.000828125
10	PJW	330000	0.000848485
10	PJW	340000	0.000873529
10	PJW	350000	0.000894286
10	PJW	360000	0.000913889
10	PJW	370000	0.000945946
10	PJW	380000	0.000976316
10	PJW	390000	0.00101026
10	PJW	400000	0.0010325
10	PJW	410000	0.00103659
10	PJW	420000	0.00106429
10	PJW	430000	0.00109302
10	PJW	440000	0.00109545
10	PJW	450000	0.0011
10	PJW	460000	0.00112174
10	PJW	470000	0.00114255
10	PJW	480000	0.0011625
10	PJW	490000	0.00119592
10	PJW	500000	0.001222
10	PJW	510000	0.00125686
10	PJW	520000	0.00128269
10	PJW	530000	0.00130377
10	PJW	540000	0.00131296
10	PJW	550000	0.00134909
10	PJW	560000	0.00137321
10	PJW	570000	0.00139825
10	PJW	580000	0.00143276
10	PJW	590000	0.00146102
10	PJW	600000	0.00149
10	PJW	610000	0.00151475
10	PJW	620000	0.00153065
10	PJW	630000	0.00155238
10	PJW	640000	0.0015875
10	PJW	650000	0.00161231
10	PJW	660000	0.00163182
10	PJW	670000	0.00166269
10	PJW	680000	0.00169265
10	PJW	690000	0.00173043
10	PJW	700000	0.00174714
10	PJW	710000	0.00177746
10	PJW	720000	0.00179306
10	PJW	730000	0.00182055
10	PJW	740000	0.00185405
10	PJW	750000	0.00187867
10	PJW	760000	0.00191053
10	PJW	770000	0.00195584
10	PJW	780000	0.00198462
10	PJW	790000	0.00200886
10	PJW	800000	0.00202125
10	PJW	810000	0.00205432
10	PJW	820000	0.00208415
10	PJW	830000	0.00209639
10	PJW	840000	0.00212024
10	PJW	850000	0.00215647
10	PJW	860000	0.00217791
10	PJW	870000	0.0021954
10	PJW	880000	0.00222045
10	PJW	890000	0.00225393
10	PJW	900000	0.00226333
10	PJW	910000	0.0023011
10	PJW	920000	0.00233804
10	PJW	930000	0.00235376
10	PJW	940000	0.00237234
10	PJW	950000	0.00240211
10	PJW	960000	0.00242917
10	PJW	970000	0.00246082
10	PJW	980000	0.00251122
10	PJW	990000	0.0025303
10	PJW	1000000	0.002552
10	ELF	10000	0
10	ELF	20000	0
10	ELF	30000	0
10	ELF	40000	0.0001
10	ELF	50000	0.0001
10	ELF	60000	0.000133333
10	ELF	70000	0.000142857
10	ELF	80000	0.0001375
10	ELF	90000	0.000155556
10	ELF	100000	0.00017
10	ELF	110000	0.000218182
10	ELF	120000	0.00025
10	ELF	130000	0.0003
10	ELF	140000	0.0003
10	ELF	150000	0.000353333
10	ELF	160000	0.000375
10	ELF	170000	0.000394118
10	ELF	180000	0.000483333
10	ELF	190000	0.000536842
10	ELF	200000	0.000565
10	ELF	210000	0.000580952
10	ELF	220000	0.000609091
10	ELF	230000	0.000613043
10	ELF	240000	0.000670833
10	ELF	250000	0.000692
10	ELF	260000	0.0007
10	ELF	270000	0.000751852
10	ELF	280000	0.000782143
10	ELF	290000	0.000803448
10	ELF	300000	0.000826667
10	ELF	310000	0.000835484
10	ELF	320000	0.00085
10	ELF	330000	0.000878788
10	ELF	340000	0.000902941
10	ELF	350000	0.000931429
10	ELF	360000	0.000983333
10	ELF	370000	0.00101081
10	ELF	380000	0.00103421
10	ELF	390000	0.00105385
10	ELF	400000	0.001095
